dataset,method,budget,seed,f1,time
msl,PCA-Triage,0.1,42,0.911887473307532,1.3283820152282717
msl,PCA-Triage,0.1,123,0.9117805723531462,2.4835779666900635
msl,PCA-Triage,0.1,456,0.9111363500437952,4.141117095947266
msl,PCA-Triage,0.3,42,0.91755088737068,4.120877742767334
msl,PCA-Triage,0.3,123,0.9173265594107912,3.976375818252563
msl,PCA-Triage,0.3,456,0.9172059429481884,4.074722051620483
msl,PCA-Triage,0.5,42,0.91755088737068,3.9842939376831055
msl,PCA-Triage,0.5,123,0.9173265594107912,2.890902042388916
msl,PCA-Triage,0.5,456,0.9172059429481884,2.2029318809509277
msl,PCA-Triage,0.7,42,0.91755088737068,1.9393818378448489
msl,PCA-Triage,0.7,123,0.9173265594107912,3.7432820796966553
msl,PCA-Triage,0.7,456,0.9172059429481884,3.7303059101104736
msl,PCA-Triage,0.9,42,0.91755088737068,3.808133840560913
msl,PCA-Triage,0.9,123,0.9173265594107912,3.9822282791137695
msl,PCA-Triage,0.9,456,0.9172059429481884,4.364930868148804
msl,Uniform,0.1,42,0.9113052311936284,0.186579942703247
msl,Uniform,0.1,123,0.9099860906643878,0.1487190723419189
msl,Uniform,0.1,456,0.9112922850970624,0.1420059204101562
msl,Uniform,0.3,42,0.9093331375916488,0.1397771835327148
msl,Uniform,0.3,123,0.9100834234223376,0.1566259860992431
msl,Uniform,0.3,456,0.909644599995442,0.1390812397003173
msl,Uniform,0.5,42,0.9127996828710612,0.1677448749542236
msl,Uniform,0.5,123,0.9111531381393904,0.2224581241607666
msl,Uniform,0.5,456,0.9122917295541794,0.2121438980102539
msl,Uniform,0.7,42,0.918164170737142,0.1936192512512207
msl,Uniform,0.7,123,0.918457169278466,0.3303158283233642
msl,Uniform,0.7,456,0.917121417453394,0.2054910659790039
msl,Uniform,0.9,42,0.9254299702730172,0.1469500064849853
msl,Uniform,0.9,123,0.9249247031019576,0.2167639732360839
msl,Uniform,0.9,456,0.925165360831528,0.1728971004486084
msl,Threshold,0.1,42,0.9113537243124168,1.3148679733276367
msl,Threshold,0.1,123,0.910846154202858,1.3676400184631348
msl,Threshold,0.1,456,0.9112532284231996,0.7254989147186279
msl,Threshold,0.3,42,0.910222874506573,0.6912667751312256
msl,Threshold,0.3,123,0.909641688745682,0.7006011009216309
msl,Threshold,0.3,456,0.9105187265454592,0.6752479076385498
msl,Threshold,0.5,42,0.9111072665293286,1.254603147506714
msl,Threshold,0.5,123,0.9140207440907878,1.3923070430755615
msl,Threshold,0.5,456,0.9120033266610862,1.4015710353851318
msl,Threshold,0.7,42,0.917176279283412,1.4162938594818115
msl,Threshold,0.7,123,0.9192425508874472,1.2816998958587646
msl,Threshold,0.7,456,0.9174517516909504,1.2989511489868164
msl,Threshold,0.9,42,0.9256417221080704,1.2919659614562988
msl,Threshold,0.9,123,0.925111762883958,0.709265947341919
msl,Threshold,0.9,456,0.9253598509405828,0.6802058219909668
msl,Variance,0.1,42,0.9132751205119112,0.6991963386535645
msl,Variance,0.1,123,0.9133856478935554,0.6618719100952148
msl,Variance,0.1,456,0.9137855469713492,1.3692150115966797
msl,Variance,0.3,42,0.9145255988711588,1.633894920349121
msl,Variance,0.3,123,0.9156212718069392,2.644927978515625
msl,Variance,0.3,456,0.9136556909548664,1.3681769371032717
msl,Variance,0.5,42,0.9172700811928286,1.953074932098389
msl,Variance,0.5,123,0.9156613776670725,1.8643789291381836
msl,Variance,0.5,456,0.9165965669607008,1.640455961227417
msl,Variance,0.7,42,0.9186939580196892,1.328613042831421
msl,Variance,0.7,123,0.9182237766916084,0.6775720119476318
msl,Variance,0.7,456,0.9179276529671496,0.6375000476837158
msl,Variance,0.9,42,0.9195051687233226,0.6405699253082275
msl,Variance,0.9,123,0.9188792832344208,0.8395078182220459
msl,Variance,0.9,456,0.9181761335267118,1.342827081680298
msl,Random Dropout,0.1,42,0.9131107810249548,0.5630459785461426
msl,Random Dropout,0.1,123,0.912872426661244,0.3719711303710937
msl,Random Dropout,0.1,456,0.9129111666832864,0.4405150413513183
msl,Random Dropout,0.3,42,0.913973896834233,0.3721611499786377
msl,Random Dropout,0.3,123,0.913643967560064,0.3905582427978515
msl,Random Dropout,0.3,456,0.9132452446900792,0.3846268653869629
msl,Random Dropout,0.5,42,0.9148223971178662,0.5283899307250977
msl,Random Dropout,0.5,123,0.913789691825338,0.3921170234680176
msl,Random Dropout,0.5,456,0.913882352630768,0.4454677104949951
msl,Random Dropout,0.7,42,0.9165949145407336,0.5370190143585205
msl,Random Dropout,0.7,123,0.9155683868904124,0.4492647647857666
msl,Random Dropout,0.7,456,0.9162558867331884,0.3708727359771728
msl,Random Dropout,0.9,42,0.9197368240689462,0.3001182079315185
msl,Random Dropout,0.9,123,0.9191800729318466,0.275601863861084
msl,Random Dropout,0.9,456,0.9193988641252928,0.2803068161010742
msl,Mutual Info,0.1,42,0.926945249591584,26.61308002471924
msl,Mutual Info,0.1,123,0.926527012107486,22.689733743667603
msl,Mutual Info,0.1,456,0.9263163800155227,21.95738983154297
msl,Mutual Info,0.3,42,0.9291332829325276,21.791566133499146
msl,Mutual Info,0.3,123,0.92945256828256,21.84907865524292
msl,Mutual Info,0.3,456,0.9286691947778992,22.216100215911865
msl,Mutual Info,0.5,42,0.9293576123813272,23.13955307006836
msl,Mutual Info,0.5,123,0.9294190214140547,20.87098789215088
msl,Mutual Info,0.5,456,0.929022586310418,21.000054121017456
msl,Mutual Info,0.7,42,0.929418791968972,22.814743995666504
msl,Mutual Info,0.7,123,0.929750622778907,21.483360052108765
msl,Mutual Info,0.7,456,0.929217715347844,29.521721124649048
msl,Mutual Info,0.9,42,0.9295704935632096,25.91969084739685
msl,Mutual Info,0.9,123,0.929848517577419,25.29223608970642
msl,Mutual Info,0.9,456,0.929531993585702,26.740444898605347
msl,PCA-Triage,0.5,789,0.9258165947165883,
msl,Uniform,0.5,789,0.9120437392391982,
msl,Threshold,0.5,789,0.9130140406070297,
msl,Variance,0.5,789,0.9176343757975917,
msl,Random Dropout,0.5,789,0.9147483939876471,
msl,Mutual Info,0.5,789,0.9304797240332477,
msl,PCA-Triage,0.5,1024,0.9265778773306083,
msl,Uniform,0.5,1024,0.9131757638003017,
msl,Threshold,0.5,1024,0.9128462774665626,
msl,Variance,0.5,1024,0.9178083007684593,
msl,Random Dropout,0.5,1024,0.9140090177111087,
msl,Mutual Info,0.5,1024,0.9294076970469177,
